order_id,order_item_id,order_date,status,payment_method,customer_id,first_name,last_name,email,country,store_id,store_name,city,region,channel,product_id,sku,product_name,category,brand,quantity,unit_cost,unit_price,discount_rate,discount_amount,net_sales,profit,shipping_fee,order_total
1,1,2024-11-24 17:44:00,Delivered,Google Pay,322,Amir,Khan,amir.khan5296@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1014,SKU-1014,CasaNest Air Fryer 2,Home,CasaNest,2,80.37,163.88,0.0,0.0,327.76,167.02,0.0,444.15
1,2,2024-11-24 17:44:00,Delivered,Google Pay,322,Amir,Khan,amir.khan5296@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1009,SKU-1009,Echo Tablet Stand 1,Electronics,Echo,2,14.96,23.74,0.05,2.37,45.11,15.19,0.0,444.15
1,3,2024-11-24 17:44:00,Delivered,Google Pay,322,Amir,Khan,amir.khan5296@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1062,SKU-1062,Kitchen Pantry Coffee Beans 2,Grocery,Kitchen Pantry,1,32.23,71.28,0.0,0.0,71.28,39.05,0.0,444.15
2,4,2025-08-12 20:15:00,Delivered,Apple Pay,288,Muhammad,Clark,muhammad.clark5063@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1004,SKU-1004,NovaTech Bluetooth Speaker 2,Electronics,NovaTech,3,28.58,49.48,0.0,0.0,148.44,62.7,0.0,148.44
3,5,2024-07-03 18:49:00,Shipped,PayPal,473,George,Johnson,george.johnson5219@email.com,United Kingdom,7,Bristol Retail Store,Bristol,South West,Store,1052,SKU-1052,Endura Dumbbells 2,Sports,Endura,5,29.79,65.28,0.0,0.0,326.4,177.45,0.0,326.4
4,6,2024-10-25 21:44:00,Shipped,Google Pay,419,George,Turner,george.turner1214@email.com,United Kingdom,1,London Retail Store,London,South,Store,1068,SKU-1068,DailyTable Olive Oil 2,Grocery,DailyTable,1,47.34,108.08,0.0,0.0,108.08,60.74,0.0,108.08
5,7,2025-10-10 12:15:00,Shipped,Google Pay,158,Muhammad,Edwards,muhammad.edwards8848@email.com,United Kingdom,1,London Retail Store,London,South,Store,1063,SKU-1063,Kitchen Pantry Protein Bars 1,Grocery,Kitchen Pantry,1,97.54,208.19,0.1,20.82,187.37,89.83,0.0,325.16
5,8,2025-10-10 12:15:00,Shipped,Google Pay,158,Muhammad,Edwards,muhammad.edwards8848@email.com,United Kingdom,1,London Retail Store,London,South,Store,1042,SKU-1042,PureGlow Shampoo 2,Beauty,PureGlow,3,13.02,22.25,0.15,10.01,56.74,17.68,0.0,325.16
5,9,2025-10-10 12:15:00,Shipped,Google Pay,158,Muhammad,Edwards,muhammad.edwards8848@email.com,United Kingdom,1,London Retail Store,London,South,Store,1035,SKU-1035,Aero Socks Pack 1,Fashion,Aero,1,53.87,90.06,0.1,9.01,81.05,27.18,0.0,325.16
6,10,2025-05-05 17:25:00,Delivered,Card,429,Adam,Thompson,adam.thompson9420@email.com,United Kingdom,9,Online Store,Online,National,Online,1011,SKU-1011,NovaTech Wireless Mouse 1,Electronics,NovaTech,3,88.38,156.14,0.05,23.42,445.0,179.86,3.99,470.95
6,11,2025-05-05 17:25:00,Delivered,Card,429,Adam,Thompson,adam.thompson9420@email.com,United Kingdom,9,Online Store,Online,National,Online,1025,SKU-1025,Crafted T-Shirt 1,Fashion,Crafted,1,19.72,25.84,0.15,3.88,21.96,2.24,3.99,470.95
7,12,2024-04-21 20:15:00,Delivered,Gift Card,364,Eva,Edwards,eva.edwards2415@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1011,SKU-1011,NovaTech Wireless Mouse 1,Electronics,NovaTech,3,88.38,156.14,0.05,23.42,445.0,179.86,0.0,445.0
8,13,2025-07-30 18:43:00,Delivered,Card,340,Jack,Hall,jack.hall2318@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1032,SKU-1032,Crafted Trainers 2,Fashion,Crafted,3,64.91,147.13,0.15,66.21,375.18,180.45,0.0,375.18
9,14,2024-04-10 12:14:00,Delivered,Gift Card,532,Hassan,Patel,hassan.patel3579@email.com,United Kingdom,6,Liverpool Retail Store,Liverpool,North West,Store,1059,SKU-1059,Endura Gym Bag 1,Sports,Endura,2,10.09,20.05,0.0,0.0,40.1,19.92,0.0,40.1
10,15,2025-08-12 11:28:00,Cancelled,Gift Card,475,Grace,Baker,grace.baker8352@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1027,SKU-1027,Crafted Hoodie 1,Fashion,Crafted,3,45.35,104.17,0.0,0.0,0.0,0.0,0.0,0.0
11,16,2025-05-09 09:18:00,Delivered,PayPal,88,Bilal,White,bilal.white2092@email.com,United Kingdom,9,Online Store,Online,National,Online,1022,SKU-1022,CasaNest Bedding Set 2,Home,CasaNest,1,29.8,35.37,0.05,1.77,33.6,3.8,3.99,241.9
11,17,2025-05-09 09:18:00,Delivered,PayPal,88,Bilal,White,bilal.white2092@email.com,United Kingdom,9,Online Store,Online,National,Online,1028,SKU-1028,Northline Hoodie 2,Fashion,Northline,1,62.61,78.55,0.1,7.86,70.69,8.08,3.99,241.9
11,18,2025-05-09 09:18:00,Delivered,PayPal,88,Bilal,White,bilal.white2092@email.com,United Kingdom,9,Online Store,Online,National,Online,1016,SKU-1016,Haven Kettle 2,Home,Haven,2,35.52,66.81,0.0,0.0,133.62,62.58,3.99,241.9
12,19,2024-12-17 15:50:00,Delivered,Google Pay,495,Bilal,Walker,bilal.walker2400@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1042,SKU-1042,PureGlow Shampoo 2,Beauty,PureGlow,2,13.02,22.25,0.1,4.45,40.05,14.01,0.0,40.05
13,20,2025-12-14 15:20:00,Shipped,Card,46,Muhammad,Jones,muhammad.jones7145@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1026,SKU-1026,Aero T-Shirt 2,Fashion,Aero,3,90.4,148.5,0.15,66.83,378.67,107.47,0.0,378.67
14,21,2024-09-06 16:11:00,Delivered,Google Pay,339,Layla,Turner,layla.turner9875@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1034,SKU-1034,Aero Jacket 2,Fashion,Aero,3,92.93,143.22,0.15,64.45,365.21,86.42,0.0,365.21
15,22,2024-08-25 20:25:00,Delivered,Google Pay,191,Aisha,Evans,aisha.evans9369@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1064,SKU-1064,Harvest Protein Bars 2,Grocery,Harvest,1,8.92,20.51,0.03,0.62,19.89,10.97,0.0,176.45
